20240819_w1_angle,20240819_w2_angle,20240819_w3_angle,20240819_w4_angle,20240819_w5_angle,20240819_w6_angle,20240819_w7_angle,20240819_w8_angle,20240819_w9_angle,20240819_w10_angle,20240819_w11_angle,20240819_w12_angle,20240819_w13_angle,20240819_w14_angle,20240819_w15_angle,20240819_w16_angle,20240819_w17_angle,20240819_w18_angle,20240819_w19_angle,20240819_w20_angle,angle_average,angle_upper,angle_lower,Time [s]
-37,-38,-35,-37,-34,-34,-35,-35,-35,-33,-33,-32,-31,-34,-35,-34,-35,-37,-34,-33,-34.55,-31,-38,0.4
-37,-38,-34,-37,-34,-34,-35,-35,-35,-33,-33,-32,-31,-34,-35,-34,-35,-36,-34,-34,-34.5,-31,-38,0.41
-37,-39,-34,-37,-34,-34,-35,-35,-35,-33,-34,-32,-31,-34,-35,-35,-35,-36,-34,-34,-34.65,-31,-39,0.42
-37,-39,-35,-37,-34,-35,-35,-35,-35,-33,-34,-33,-31,-35,-36,-35,-35,-35,-34,-34,-34.85,-31,-39,0.43
-37,-39,-35,-38,-34,-35,-35,-36,-35,-34,-34,-33,-31,-35,-36,-35,-35,-35,-35,-34,-35.05,-31,-39,0.44
-38,-39,-35,-38,-34,-35,-36,-36,-35,-34,-34,-33,-32,-35,-36,-35,-35,-35,-35,-34,-35.2,-32,-39,0.45
-38,-40,-35,-38,-35,-35,-36,-36,-35,-34,-35,-33,-32,-35,-36,-36,-35,-35,-35,-35,-35.45,-32,-40,0.46
-38,-40,-36,-38,-35,-36,-36,-36,-36,-34,-35,-33,-32,-35,-36,-36,-36,-35,-35,-35,-35.65,-32,-40,0.47
-38,-40,-36,-38,-35,-36,-36,-37,-36,-34,-35,-34,-32,-36,-37,-36,-36,-35,-35,-35,-35.85,-32,-40,0.48
-39,-40,-36,-39,-35,-36,-37,-37,-36,-35,-35,-34,-33,-36,-37,-37,-36,-35,-36,-36,-36.25,-33,-40,0.49
-39,-40,-36,-39,-36,-36,-37,-37,-36,-35,-35,-34,-33,-36,-37,-37,-36,-35,-36,-36,-36.3,-33,-40,0.5
-39,-40,-36,-39,-36,-36,-37,-37,-36,-35,-36,-34,-33,-36,-37,-37,-36,-35,-36,-36,-36.35,-33,-40,0.51
-39,-40,-36,-39,-36,-36,-37,-37,-37,-35,-36,-34,-33,-37,-37,-37,-37,-35,-36,-36,-36.5,-33,-40,0.52
-39,-40,-37,-39,-36,-36,-37,-37,-37,-35,-36,-34,-34,-36,-37,-37,-37,-35,-36,-36,-36.55,-34,-40,0.53
-39,-40,-37,-39,-36,-36,-37,-37,-37,-35,-36,-34,-34,-36,-37,-37,-37,-35,-36,-36,-36.55,-34,-40,0.54
-39,-40,-37,-39,-36,-36,-37,-37,-37,-35,-36,-34,-34,-36,-37,-37,-37,-35,-36,-36,-36.55,-34,-40,0.55
-39,-40,-37,-39,-36,-36,-37,-37,-37,-35,-36,-34,-34,-37,-37,-37,-37,-35,-36,-36,-36.6,-34,-40,0.56
-39,-40,-36,-39,-36,-36,-37,-37,-37,-35,-36,-34,-34,-36,-37,-37,-37,-36,-36,-36,-36.55,-34,-40,0.57
-38,-40,-36,-39,-36,-36,-37,-37,-37,-35,-36,-34,-34,-37,-37,-37,-37,-36,-36,-36,-36.55,-34,-40,0.58
-38,-40,-36,-39,-36,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-37,-37,-36,-36,-36,-36.6,-34,-40,0.59
-38,-40,-36,-39,-36,-36,-37,-37,-37,-35,-36,-35,-34,-36,-37,-37,-37,-36,-36,-36,-36.55,-34,-40,0.6
-38,-40,-36,-39,-36,-36,-37,-37,-37,-35,-36,-35,-34,-36,-37,-37,-37,-36,-36,-36,-36.55,-34,-40,0.61
-38,-40,-36,-39,-36,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-37,-37,-36,-36,-36,-36.6,-34,-40,0.62
-38,-40,-36,-39,-36,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-37,-37,-36,-36,-36,-36.6,-34,-40,0.63
-38,-40,-36,-39,-36,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-37,-37,-36,-36,-36,-36.6,-34,-40,0.64
-38,-40,-36,-39,-36,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-37,-37,-36,-36,-36,-36.6,-34,-40,0.65
-39,-40,-36,-39,-36,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-37,-37,-36,-36,-36,-36.65,-34,-40,0.66
-39,-40,-37,-39,-36,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-37,-37,-35,-36,-36,-36.65,-34,-40,0.67
-39,-40,-37,-39,-36,-36,-37,-37,-37,-35,-36,-36,-34,-37,-37,-37,-37,-35,-36,-36,-36.7,-34,-40,0.68
-39,-40,-37,-39,-37,-36,-37,-37,-37,-35,-36,-36,-34,-37,-37,-38,-37,-35,-36,-36,-36.8,-34,-40,0.69
-39,-40,-37,-39,-37,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-38,-37,-35,-36,-36,-36.75,-34,-40,0.7
-39,-40,-37,-39,-37,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-38,-37,-35,-36,-36,-36.75,-34,-40,0.71
-39,-40,-37,-39,-37,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-39,-37,-35,-36,-36,-36.8,-34,-40,0.72
-39,-40,-37,-39,-37,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-39,-37,-35,-36,-36,-36.8,-34,-40,0.73
-39,-40,-37,-39,-37,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-39,-36,-36,-36,-36,-36.8,-34,-40,0.74
-39,-40,-37,-39,-37,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-38,-36,-36,-36,-36,-36.75,-34,-40,0.75
-39,-40,-37,-39,-37,-36,-37,-37,-37,-35,-36,-35,-34,-37,-37,-38,-36,-36,-36,-36,-36.75,-34,-40,0.76
-39,-40,-37,-39,-37,-36,-36,-37,-37,-35,-35,-35,-34,-37,-37,-38,-36,-36,-36,-36,-36.65,-34,-40,0.77
-38,-40,-37,-39,-36,-35,-36,-37,-37,-35,-35,-34,-33,-36,-37,-37,-36,-36,-36,-36,-36.3,-33,-40,0.78
-38,-40,-36,-38,-36,-35,-36,-37,-36,-35,-35,-34,-33,-36,-36,-36,-36,-36,-36,-35,-36.0,-33,-40,0.79
-38,-39,-36,-38,-36,-35,-35,-36,-36,-34,-35,-33,-33,-35,-36,-36,-35,-36,-35,-35,-35.6,-33,-39,0.8
-37,-39,-36,-38,-35,-34,-35,-36,-36,-34,-34,-33,-32,-35,-35,-35,-35,-36,-35,-35,-35.25,-32,-39,0.81
-37,-38,-35,-37,-35,-33,-34,-35,-35,-34,-34,-32,-32,-34,-35,-34,-34,-36,-34,-34,-34.6,-32,-38,0.82
-36,-37,-34,-36,-34,-33,-33,-35,-34,-33,-33,-31,-31,-34,-34,-33,-34,-35,-34,-34,-33.9,-31,-37,0.83
-36,-36,-34,-35,-33,-32,-32,-34,-34,-32,-32,-31,-30,-33,-33,-32,-33,-35,-33,-33,-33.15,-30,-36,0.84
-35,-35,-33,-35,-32,-31,-32,-33,-33,-32,-32,-30,-29,-32,-32,-31,-32,-35,-32,-32,-32.4,-29,-35,0.85
-34,-34,-32,-34,-31,-30,-31,-32,-32,-31,-31,-29,-29,-31,-32,-30,-32,-35,-31,-31,-31.6,-29,-35,0.86
-33,-34,-31,-33,-30,-29,-30,-31,-31,-30,-30,-28,-28,-30,-31,-29,-31,-34,-30,-31,-30.7,-28,-34,0.87
-32,-33,-31,-32,-30,-29,-29,-31,-30,-29,-29,-28,-27,-30,-30,-29,-30,-34,-30,-30,-30.15,-27,-34,0.88
-32,-32,-30,-32,-29,-28,-29,-30,-30,-29,-29,-27,-27,-29,-30,-28,-30,-33,-29,-29,-29.6,-27,-33,0.89
-31,-31,-29,-31,-28,-28,-28,-29,-29,-28,-28,-27,-26,-29,-29,-28,-29,-33,-28,-28,-28.85,-26,-33,0.9
-31,-31,-29,-31,-28,-27,-28,-29,-29,-28,-28,-26,-26,-28,-29,-27,-29,-32,-28,-28,-28.6,-26,-32,0.91
-30,-31,-29,-30,-27,-27,-28,-28,-28,-27,-28,-26,-25,-28,-29,-27,-29,-32,-28,-27,-28.2,-25,-32,0.92
-30,-30,-28,-30,-27,-27,-28,-28,-28,-27,-27,-26,-25,-28,-29,-27,-29,-31,-27,-27,-27.95,-25,-31,0.93
-30,-30,-28,-30,-27,-27,-28,-28,-28,-27,-27,-26,-25,-28,-29,-27,-29,-31,-27,-27,-27.95,-25,-31,0.94
-30,-30,-28,-30,-27,-27,-28,-28,-28,-27,-27,-26,-25,-28,-29,-27,-29,-30,-27,-27,-27.9,-25,-30,0.95
-30,-30,-28,-30,-27,-27,-28,-28,-28,-27,-27,-26,-25,-28,-29,-27,-29,-30,-27,-27,-27.9,-25,-30,0.96
-30,-30,-28,-30,-27,-27,-28,-28,-28,-27,-27,-26,-25,-28,-29,-27,-29,-30,-27,-27,-27.9,-25,-30,0.97
-30,-31,-28,-30,-27,-27,-28,-28,-28,-27,-28,-26,-26,-28,-29,-27,-29,-30,-27,-27,-28.05,-26,-31,0.98
-30,-31,-28,-30,-27,-27,-28,-28,-28,-27,-28,-26,-26,-28,-29,-27,-29,-30,-27,-27,-28.05,-26,-31,0.99
