20240819_r1_angle,20240819_r2_angle,20240819_r3_angle,20240819_r4_angle,20240819_r5_angle,20240819_r6_angle,20240819_r7_angle,20240819_r8_angle,20240819_r9_angle,20240819_r10_angle,20240819_r11_angle,20240819_r12_angle,20240819_r13_angle,20240819_r15_angle,20240819_r16_angle,20240819_r17_angle,20240819_r18_angle,20240819_r19_angle,20240819_r20_angle,angle_average,angle_upper,angle_lower,Time [s]
-47,-45,-46,-46,-46,-46,-47,-45,-45,-44,-46,-45,-45,-46,-45,-47,-45,-46,-45,-45.63157894736842,-44,-47,3.16
-47,-45,-46,-46,-46,-46,-47,-45,-45,-44,-46,-45,-45,-46,-45,-47,-45,-46,-45,-45.63157894736842,-44,-47,3.17
-47,-45,-46,-46,-46,-46,-47,-45,-45,-44,-46,-45,-45,-46,-45,-47,-45,-46,-45,-45.63157894736842,-44,-47,3.18
-47,-45,-46,-46,-46,-46,-47,-45,-45,-44,-46,-45,-45,-46,-45,-47,-45,-46,-45,-45.63157894736842,-44,-47,3.19
-47,-45,-46,-46,-46,-46,-47,-45,-45,-44,-46,-45,-45,-46,-45,-47,-45,-46,-45,-45.63157894736842,-44,-47,3.2
-47,-45,-46,-46,-46,-46,-47,-45,-45,-44,-46,-45,-45,-46,-45,-47,-45,-46,-45,-45.63157894736842,-44,-47,3.21
-47,-45,-46,-46,-46,-46,-47,-45,-45,-44,-46,-45,-45,-46,-45,-47,-45,-46,-45,-45.63157894736842,-44,-47,3.22
-47,-45,-46,-46,-46,-46,-47,-45,-45,-44,-46,-45,-45,-46,-45,-47,-45,-46,-45,-45.63157894736842,-44,-47,3.23
-47,-45,-46,-46,-46,-46,-47,-45,-45,-44,-46,-45,-45,-46,-45,-47,-45,-46,-45,-45.63157894736842,-44,-47,3.24
-47,-45,-46,-46,-46,-46,-47,-45,-45,-44,-46,-45,-45,-46,-45,-47,-45,-46,-45,-45.63157894736842,-44,-47,3.25
-47,-45,-46,-46,-46,-46,-47,-45,-45,-44,-46,-45,-45,-46,-45,-47,-45,-46,-45,-45.63157894736842,-44,-47,3.26
-47,-45,-46,-46,-46,-46,-47,-45,-44,-44,-46,-44,-45,-46,-45,-47,-45,-46,-45,-45.526315789473685,-44,-47,3.27
-47,-45,-46,-46,-46,-46,-47,-45,-44,-44,-46,-44,-45,-46,-45,-47,-45,-46,-45,-45.526315789473685,-44,-47,3.28
-47,-45,-46,-46,-46,-46,-47,-45,-44,-44,-46,-44,-45,-45,-45,-46,-45,-46,-45,-45.421052631578945,-44,-47,3.29
-47,-45,-46,-46,-46,-46,-47,-45,-44,-44,-45,-44,-45,-45,-45,-47,-45,-46,-45,-45.421052631578945,-44,-47,3.3
-47,-44,-46,-46,-46,-46,-47,-45,-44,-44,-45,-44,-45,-45,-45,-46,-45,-46,-45,-45.31578947368421,-44,-47,3.31
